,Place
conf/ecoop/2003,None
conf/chi/1993,None
conf/sigir/2007,None
conf/swis/2003,None
conf/ws/2005,None
conf/issta/2011,None
conf/focs/2011,None
conf/semweb/2009,None
conf/group/2009,None
conf/lics/2002,None
conf/sigmod/2013grades,None
conf/sigecom/2005,None
conf/birthday/2009mylopoulos,None
conf/stoc/2003,None
conf/hybrid/2001,None
conf/esws/2011-1,None
conf/icdt/2003,None
conf/sigir/2008,None
conf/kdd/2016,None
conf/afp/2008,None
conf/sigir/97,None
conf/caise/2008,None
conf/sigecom/2008,None
conf/pods/2008,None
conf/splc/2002,None
conf/fpca/1987,None
conf/ecoop/2009,None
conf/vvs/1994,None
conf/sigmod/94,None
conf/focs/1997,None
conf/sosp/1993,None
conf/asplos/2000,None
conf/pods/89,None
conf/tacas/2014,None
conf/iccv/2007,None
conf/eccv/2010-3,None
conf/concur/1998,None
conf/icml/1993,None
conf/isca/2012,None
conf/fmoods/2008,None
conf/icse/2015-1,None
conf/npar/2007,None
conf/icer/2006,None
conf/mobisys/2011,None
conf/si3d/2007,None
conf/hpca/2014,None
conf/sensys/2008,None
conf/wdag/2001,None
conf/ecscw/1991,None
conf/eccv/2012-4,None
conf/models/2010-1,None
conf/asplos/2004,None
conf/kdd/2009hcomp,None
conf/cosit/2003,None
conf/patat/2002,None
conf/worm/2004,None
conf/cpm/2003,None
conf/semweb/2008,None
conf/focs/2004,None
conf/isca/1997,None
conf/sp/1990,None
conf/candt/2009,None
conf/giscience/2002,None
conf/percom/2004,None
conf/cscw/2012c,None
conf/fc/2014,None
conf/ants/2000,None
conf/rta/2004,None
conf/pldi/1990,None
conf/avi/2006beliv,None
conf/esorics/1996,None
conf/imc/2014,None
conf/bpm/2013,None
conf/recsys/2009,None
conf/ima/2001,None
conf/icde/2007,None
conf/spin/2007,None
conf/cvpr/1997,None
conf/hybrid/2005,None
conf/focs/2009,None
conf/concur/2010,None
conf/lics/1996,None
conf/eccv/2012-5,None
conf/rbac/1997,None
conf/cade/2008,None
conf/tcc/2013,None
conf/cc/2003,None
conf/hybrid/1999,None
conf/fmcad/2002,None
conf/cikm/2007,None
conf/stoc/STOC24,None
conf/popl/2015,None
conf/cscw/1996,None
conf/issta/2002,None
conf/sacrypt/2008,None
conf/chi/1991,None
conf/asiacrypt/1999,None
conf/sdm/2007,None
conf/voss/2004,None
conf/sacrypt/1998,None
conf/sp/1987,None
conf/ctrsa/2009,None
conf/stoc/2012,None
conf/pods/95,None
conf/pervasive/2009,None
conf/africacrypt/2008,None
conf/itrust/2004,None
conf/sacrypt/2009,None
conf/edbt/2004,None
conf/spin/2006,None
conf/ecoopw/1999secure,None
conf/icsoc/2004,None
conf/fase/2002,None
conf/issta/2008,None
conf/bpm/2004,None
conf/mir/2006,None
conf/wisec/2012,None
conf/ctrsa/2007,None
conf/podc/1991,None
conf/ipaw/2006,None
conf/eccv/1998-2,None
conf/miccai/1998,None
conf/ccs/2001drm,None
conf/dagstuhl/2005into,None
conf/npar/2000,None
conf/siggraph/1986,None
conf/paste/2001,None
conf/pet/2003,None
conf/hpca/2010,None
conf/webdb/2000,None
conf/esws/2010-1,None
conf/asplos/2015,None
conf/pervasive/2007,None
conf/icalp/2005,None
conf/msr/2014,None
conf/stoc/2014,None
conf/sas/2011,None
conf/isca/2000,None
conf/sas/2000,None
conf/ecoop/2008,None
